Customer_ID,First_Name,Last_Name,Email,Phone_Number,Address,City,Country,Loyalty_Points,Account_Creation_Date,Customer_Type
CUST001,Jacob,Hogan,andrew99@austin.com,0831065992,"352 Anna Row Suite 803
Schmidtland, DE 75875",East Annaberg,Saint Lucia,183,2023-07-11,Retail
CUST002,Nicole,Stephens,mguzman@gmail.com,147-535-3928x762,"7350 Wood Tunnel
North Douglas, NJ 32994",Jamieview,Saint Vincent and the Grenadines,898,2024-06-08,Wholesale
CUST003,Julie,Little,sandrali@yahoo.com,0676771216,"599 Taylor Garden
Joelside, VA 35025",Zhangburgh,Jordan,435,2022-01-03,Wholesale
CUST004,Connie,Reeves,thall@yahoo.com,(798)597-1346,"47743 Jessica Plain Apt. 149
South Ricardo, PA 22291",South Joshua,Algeria,806,2019-12-23,Wholesale
CUST005,Alexander,Davis,allenlisa@yahoo.com,009.946.1723,"83191 James Fields
Codymouth, ID 37966",North Billyview,San Marino,491,2020-07-13,Wholesale
CUST006,Bradley,Ramos,lisamiller@miller.com,405-788-9262x3601,"Unit 0901 Box 3985
DPO AE 73854",Port Natasha,Madagascar,921,2024-05-11,Retail
CUST007,Christina,Guzman,traceytran@lewis-garcia.org,(379)621-3951x981,"130 Parker Circle
Lake Aaron, MA 24984",Alexisshire,Malaysia,13,2022-04-25,Wholesale
CUST008,Kathy,Bolton,amanda94@walker-ponce.biz,(520)950-1405,"782 Zhang Key
South Maureen, SD 92328",Catherineton,Japan,411,2022-10-29,Wholesale
CUST009,Elizabeth,Armstrong,nleach@martinez.com,2252648766,"668 Powers Gardens
North Heather, ID 55223",Austinmouth,Netherlands Antilles,651,2021-07-27,Wholesale
CUST010,Catherine,Hall,kingjonathan@larsen-fischer.com,(207)379-4720x4502,"230 Benitez Port
Schwartzview, ID 78676",Port Leslieville,Faroe Islands,757,2020-12-28,Retail
CUST011,Christopher,Moore,brittany04@yahoo.com,(360)716-3280x5806,"139 Brown Point Apt. 054
Jasontown, MD 36046",Port Patrickbury,Czech Republic,560,2021-04-06,Retail
CUST012,Tina,Tyler,carriesnyder@smith.info,001-398-116-7089x84994,"62499 Christine Prairie Suite 980
Vanessatown, VT 94252",Kayleeborough,Mauritius,848,2023-06-07,Retail
CUST013,Erica,Perkins,blake58@gmail.com,781.714.4321x7573,"617 Jerry Port
East Courtneymouth, KS 15290",Nathanview,Bangladesh,398,2023-08-07,Retail
CUST014,John,Moreno,tinadaniel@hotmail.com,497-900-4314,"490 Dawn Circle Suite 520
Janetchester, VA 33884",East Michealport,Cameroon,489,2022-04-12,Wholesale
CUST015,Edward,Rodriguez,nancyhess@hotmail.com,2808898886,"USNV Byrd
FPO AE 51551",Johnsonfort,Turkmenistan,805,2022-02-06,Retail
CUST016,Philip,Hicks,hbautista@yahoo.com,001-982-450-9870x4832,"73748 Julia Loop Suite 273
Carolton, RI 67315",East Kelseybury,Estonia,98,2020-01-25,Wholesale
CUST017,Noah,Mcknight,donna45@cisneros.org,8947798099,"429 Hector Grove Apt. 401
South Howard, OH 88279",Meyerbury,El Salvador,6,2022-10-21,Wholesale
CUST018,Brian,Murray,evanpatel@yahoo.com,370.017.7204x8554,"417 Tristan Fort Apt. 817
Joshuafort, OK 63441",West Erica,Korea,338,2024-01-02,Wholesale
CUST019,Pamela,Lee,carterstephen@gmail.com,721.857.8268x893,"6135 King Crossroad Suite 097
Andreatown, NE 86766",Jennifermouth,Iceland,154,2024-11-10,Wholesale
CUST020,Donna,Smith,debbiemathis@jones-jones.com,523.002.0905x1698,"608 Mueller Green Apt. 338
New Sandraville, ME 91123",Codyberg,Luxembourg,908,2024-02-09,Wholesale
CUST021,Luis,Hudson,julie57@yahoo.com,(803)628-8904,"72045 Ashley Locks
Brownshire, CA 37560",Michaelfort,Georgia,529,2023-10-14,Retail
CUST022,Victoria,Williams,esimmons@yahoo.com,+1-749-855-1238x91315,"997 Mayer Mall
East Michael, TX 53251",Port Todd,Hungary,386,2022-11-29,Wholesale
CUST023,Vickie,Young,barkermary@hotmail.com,+1-114-282-2985,"449 Chavez Meadow
Christianburgh, GA 05847",Hoganfurt,Marshall Islands,11,2024-04-26,Retail
CUST024,Tracy,Byrd,snyderethan@hall.com,(692)515-4390x159,"57802 Travis Brook
East Michael, ID 85274",Lake Travisshire,El Salvador,785,2022-07-08,Wholesale
CUST025,Sabrina,Daniel,ashleymatthews@hotmail.com,8006341437,"103 Howell Park
Alyssastad, LA 40568",West Amyton,Barbados,759,2023-10-05,Wholesale
CUST026,Sandy,Wood,mcbridemegan@gmail.com,(199)221-1473x6447,"169 Garcia Island
Lake Diane, SD 19066",Kevinton,Greenland,888,2020-01-25,Retail
CUST027,Sean,Carter,amy66@gmail.com,188.452.7222x1597,"2665 Linda Haven Apt. 788
Port Annton, ME 95162",West Matthew,Honduras,890,2020-01-26,Wholesale
CUST028,Kathy,Hernandez,heathermosley@lee-rogers.org,(621)681-8620x1924,"54586 Carl Rapid
Port Leslie, MN 41795",Jonathanport,Germany,869,2024-10-21,Wholesale
CUST029,Sylvia,Smith,qmolina@sanders-lewis.com,(404)094-9033,"66224 Lee Road
Denisemouth, CO 82764",Williamshaven,Holy See (Vatican City State),110,2020-01-09,Retail
